YEAR,DOY,PRECTOTCORR,T2M,T2MDEW,RH2M,WS10M,PS
2010,1,0.0,5.05,-16.7,18.45,1.98,77.94
2010,2,0.0,5.21,-15.04,21.1,2.14,78.13
2010,3,7.01,3.91,-9.33,44.79,1.8,78.08
2010,4,0.02,3.3,-5.34,59.69,2.05,77.83
2010,5,0.0,5.38,-12.09,27.89,2.44,77.72
2010,6,0.0,5.02,-12.63,27.45,2.61,77.88
2010,7,0.0,5.89,-14.15,22.87,1.96,78.06
2010,8,0.0,4.32,-12.83,28.63,2.15,77.97
2010,9,0.0,3.82,-11.59,32.15,2.2,77.92
2010,10,0.0,3.86,-13.34,27.67,2.19,78.0
2010,11,0.0,3.7,-14.93,24.16,2.37,78.02
2010,12,0.0,3.28,-15.26,23.9,2.32,77.99
2010,13,2.49,0.83,-10.59,42.06,1.51,77.87
2010,14,0.0,3.1,-11.52,33.97,2.15,78.3
2010,15,0.0,5.23,-12.09,27.42,2.26,78.41
2010,16,0.0,6.29,-13.24,23.25,2.34,78.47
2010,17,0.0,6.09,-11.52,26.84,1.86,78.38
2010,18,0.0,4.01,-12.64,28.28,2.1,78.29
2010,19,0.0,3.69,-13.29,27.09,2.35,78.16
2010,20,0.0,3.71,-12.04,29.99,2.18,78.29
2010,21,0.0,4.59,-10.94,31.86,2.55,78.17
2010,22,0.0,3.5,-10.43,35.57,2.13,78.1
2010,23,0.0,4.7,-8.58,39.38,2.3,78.11
2010,24,0.0,5.86,-9.4,32.56,1.84,77.96
2010,25,0.0,4.99,-9.05,35.53,2.02,78.1
2010,26,0.0,4.67,-10.32,33.25,2.27,78.13
2010,27,0.0,5.65,-10.98,29.36,1.99,78.12
2010,28,0.0,5.0,-10.33,33.3,2.29,78.08
2010,29,1.53,3.72,-5.36,52.62,2.24,78.1
2010,30,0.01,3.64,-10.31,39.32,2.44,78.07
2010,31,0.0,3.76,-12.33,30.03,1.81,77.9
2010,32,0.0,3.1,-11.76,31.99,1.8,77.88
2010,33,0.0,1.83,-11.96,35.44,2.24,77.9
2010,34,0.0,2.3,-13.37,30.65,2.38,77.91
2010,35,0.0,3.46,-13.48,27.22,2.27,77.98
2010,36,0.06,5.52,-9.56,32.77,2.15,78.05
2010,37,0.4,6.42,-3.32,51.03,1.94,78.15
2010,38,0.96,5.15,0.75,75.14,2.02,78.14
2010,39,10.96,2.04,0.35,91.71,2.38,77.61
2010,40,11.05,-0.01,-1.72,92.41,4.15,77.27
2010,41,0.01,-0.01,-6.3,68.4,2.01,77.86
2010,42,0.0,2.83,-4.96,60.37,2.13,78.03
2010,43,0.0,2.85,-4.14,62.17,2.51,78.03
2010,44,0.0,2.29,-8.86,46.94,1.97,77.9
2010,45,0.0,0.82,-9.03,51.13,2.67,77.72
2010,46,0.0,0.92,-8.57,53.15,2.9,77.71
2010,47,0.0,1.86,-6.07,58.77,2.3,77.91
2010,48,0.0,2.29,-5.5,60.37,1.99,77.92
2010,49,0.0,2.77,-11.63,37.17,2.5,77.88
2010,50,0.0,4.76,-8.46,39.66,2.48,78.02
2010,51,0.0,5.83,-8.85,36.39,2.73,78.1
2010,52,0.0,8.03,-7.12,35.38,2.66,78.03
2010,53,0.32,8.32,-5.45,39.5,2.25,77.99
2010,54,2.83,6.43,-2.03,56.94,1.8,77.74
2010,55,0.0,6.11,-2.14,58.45,2.16,77.69
2010,56,0.12,7.17,-3.35,51.31,2.47,77.85
2010,57,0.59,8.06,-1.47,53.33,2.11,78.01
2010,58,0.01,9.24,-0.87,51.64,2.09,78.01
2010,59,0.5,10.53,-0.81,48.49,2.15,77.93
2010,60,1.08,8.78,2.84,68.93,2.46,77.99
2010,61,0.0,8.6,-5.6,42.44,2.79,77.95
2010,62,0.72,7.55,-6.46,38.33,1.97,77.68
2010,63,0.79,7.21,-0.24,62.14,2.85,77.64
2010,64,0.02,7.33,-4.65,49.12,2.05,77.8
2010,65,0.08,7.48,-8.96,34.12,2.68,77.8
2010,66,0.82,7.31,-2.26,53.19,2.29,77.98
2010,67,0.0,8.21,-4.11,43.93,2.27,78.0
2010,68,0.0,8.56,-7.93,33.51,2.78,78.2
2010,69,0.0,9.82,-7.44,30.73,2.72,78.28
2010,70,0.0,10.57,-7.66,28.86,2.55,78.32
2010,71,0.0,10.09,-6.86,31.82,2.85,78.32
2010,72,0.0,10.21,-4.46,37.4,3.02,78.08
2010,73,0.0,11.29,-2.98,38.41,2.81,77.86
2010,74,0.0,11.77,-6.43,29.93,2.67,77.95
2010,75,0.0,12.34,-4.24,33.03,2.77,78.23
2010,76,0.0,12.31,-4.55,32.14,2.82,78.48
2010,77,0.0,13.69,-2.36,34.74,2.72,78.59
2010,78,0.0,15.52,-2.89,30.03,2.7,78.35
2010,79,0.0,16.17,-1.74,31.65,2.71,78.2
2010,80,0.0,15.38,-1.03,34.61,2.51,78.1
2010,81,0.0,15.19,-4.24,28.11,2.82,77.75
2010,82,0.0,14.77,-4.45,27.52,2.6,77.63
2010,83,0.0,14.82,-4.7,27.13,2.43,77.78
2010,84,0.0,14.79,-5.69,25.24,2.36,77.84
2010,85,0.0,14.88,-3.75,28.2,1.84,77.92
2010,86,0.0,13.1,-1.07,39.63,2.65,77.95
2010,87,0.0,13.9,-4.15,31.31,2.96,77.95
2010,88,0.29,14.3,-3.0,32.21,3.17,77.9
2010,89,0.05,13.69,-2.98,33.3,2.65,77.68
2010,90,0.0,13.16,-5.25,28.78,2.56,77.68
2010,91,0.0,12.53,-8.74,22.89,2.75,77.7
2010,92,0.0,12.26,-6.56,28.39,2.91,77.83
2010,93,0.21,13.01,-2.4,36.86,2.77,78.03
2010,94,0.04,13.21,-4.23,30.45,2.91,78.12
2010,95,0.0,13.48,-5.13,28.57,3.05,78.08
2010,96,0.0,14.17,-6.69,25.2,2.96,77.98
2010,97,0.0,16.01,-9.75,16.72,2.82,78.18
2010,98,0.0,16.64,-8.17,18.55,2.97,78.37
2010,99,0.0,16.84,-4.82,23.6,3.23,77.98
2010,100,0.0,16.9,-2.68,28.07,3.0,77.7
2010,101,0.05,17.4,-1.44,28.86,2.72,77.75
2010,102,0.28,14.89,-0.4,36.59,2.42,77.83
2010,103,0.0,16.2,-7.55,21.62,3.0,77.86
2010,104,0.0,17.01,-10.32,14.79,2.88,77.94
2010,105,0.0,18.42,-8.64,15.98,2.96,78.15
2010,106,0.0,19.08,-3.63,21.82,3.24,78.13
2010,107,0.03,18.8,-1.08,27.54,2.85,78.01
2010,108,0.42,17.53,3.88,41.16,3.07,77.82
2010,109,0.66,18.11,4.52,43.49,3.6,77.59
2010,110,0.52,17.84,1.95,37.83,3.0,77.5
2010,111,1.13,16.4,1.76,39.5,3.26,77.59
2010,112,0.12,15.53,1.55,41.19,3.31,77.81
2010,113,0.0,15.09,-0.01,37.69,2.73,77.92
2010,114,0.0,14.47,-3.28,31.12,2.54,77.87
2010,115,0.0,15.89,-4.32,26.35,2.87,77.83
2010,116,0.0,16.78,-4.79,25.54,3.19,78.11
2010,117,0.13,18.15,-0.26,30.95,2.92,78.22
2010,118,0.16,17.63,2.7,38.8,3.13,78.15
2010,119,0.0,17.72,1.09,35.45,2.73,78.08
2010,120,0.23,17.76,1.49,35.6,3.02,78.11
2010,121,0.12,16.95,2.14,38.33,3.07,78.13
2010,122,0.04,17.73,1.87,36.63,2.76,77.97
2010,123,0.0,18.29,1.61,35.38,3.38,77.79
2010,124,0.24,19.72,2.45,33.72,3.13,77.7
2010,125,0.94,18.68,4.46,40.47,2.29,77.7
2010,126,0.03,17.86,4.74,43.08,2.57,77.72
2010,127,5.28,16.86,5.0,48.19,3.09,77.74
2010,128,0.0,16.39,3.89,46.56,2.59,77.8
2010,129,0.0,17.13,2.6,40.83,2.72,77.63
2010,130,1.4,17.24,0.83,36.61,2.94,77.63
2010,131,0.34,17.12,1.7,38.61,2.83,77.69
2010,132,0.09,17.8,0.81,34.45,2.83,77.69
2010,133,0.16,17.9,-0.45,31.7,2.84,77.69
2010,134,0.18,18.19,-1.87,27.88,3.2,77.63
2010,135,0.0,18.47,-1.78,27.06,2.58,77.74
2010,136,0.16,19.55,-1.45,26.36,3.17,77.74
2010,137,0.08,19.73,2.9,34.19,2.94,77.89
2010,138,1.65,19.67,5.2,40.06,3.5,77.86
2010,139,0.2,18.69,2.76,38.14,2.51,77.77
2010,140,0.0,18.32,-1.59,27.83,2.71,77.62
2010,141,0.0,20.48,-3.65,21.0,3.0,77.74
2010,142,0.09,21.82,-0.9,23.34,2.86,77.81
2010,143,1.92,20.9,1.77,29.79,3.33,77.79
2010,144,0.01,20.88,-0.96,27.29,4.14,77.53
2010,145,0.0,22.01,-4.65,18.95,3.54,77.32
2010,146,0.0,22.67,-7.66,13.29,3.34,77.35
2010,147,0.06,23.41,-4.1,18.05,3.22,77.4
2010,148,9.34,20.93,6.08,41.33,5.18,77.47
2010,149,1.2,17.96,4.96,46.48,3.29,77.71
2010,150,0.0,17.57,-0.5,32.58,2.9,77.67
2010,151,0.0,19.55,-3.18,24.02,3.21,77.67
2010,152,0.0,20.63,-0.63,26.27,3.51,77.75
2010,153,0.92,20.82,0.81,29.33,3.15,77.84
2010,154,1.49,20.32,4.25,37.32,2.23,77.9
2010,155,3.31,20.52,5.67,41.12,2.47,77.8
2010,156,9.08,17.58,7.06,55.76,2.32,77.63
2010,157,0.0,16.39,0.57,39.64,2.87,77.52
2010,158,16.29,16.29,4.1,51.12,2.6,77.55
2010,159,35.38,13.55,9.11,78.17,1.74,77.61
2010,160,1.22,16.19,6.08,55.39,2.56,77.65
2010,161,0.1,16.82,5.97,52.09,2.64,77.75
2010,162,0.0,18.19,6.79,50.42,2.63,77.67
2010,163,0.0,18.98,7.69,50.93,2.55,77.63
2010,164,0.96,18.02,8.1,55.67,2.66,77.57
2010,165,0.4,18.16,6.87,51.14,2.82,77.62
2010,166,0.27,18.82,5.0,45.15,2.89,77.57
2010,167,0.42,17.85,7.25,53.16,2.97,77.56
2010,168,0.0,17.92,6.52,50.99,2.75,77.62
2010,169,0.0,19.72,5.44,44.38,2.78,77.72
2010,170,0.0,21.08,7.59,45.43,2.98,77.71
2010,171,0.03,21.95,8.62,46.39,3.0,77.75
2010,172,0.18,22.59,7.46,41.76,2.91,77.64
2010,173,2.2,21.47,7.53,46.02,3.06,77.46
2010,174,4.32,21.13,7.76,47.02,2.88,77.47
2010,175,13.11,20.99,8.76,49.29,2.71,77.38
2010,176,11.09,18.63,10.48,61.96,2.3,77.44
2010,177,0.0,20.09,9.51,54.09,2.9,77.42
2010,178,4.44,20.74,10.9,57.57,3.2,77.46
2010,179,2.68,20.61,9.7,53.71,2.78,77.47
2010,180,0.02,20.91,8.94,50.61,3.02,77.46
2010,181,1.38,20.39,8.88,52.02,2.66,77.49
2010,182,15.65,19.33,10.13,59.78,2.22,77.51
2010,183,7.22,19.0,9.65,59.23,2.31,77.65
2010,184,0.16,20.4,10.36,56.48,2.65,77.71
2010,185,18.09,19.8,12.21,66.56,2.4,77.77
2010,186,48.02,16.36,13.03,83.6,1.02,77.76
2010,187,16.37,16.6,12.82,81.74,1.65,77.76
2010,188,3.49,18.15,13.84,79.17,1.84,77.92
2010,189,1.03,19.87,13.65,70.95,2.43,77.95
2010,190,2.9,20.46,14.33,72.26,2.73,77.71
2010,191,2.3,20.39,14.37,71.74,2.65,77.59
2010,192,21.55,19.85,14.04,72.53,2.96,77.46
